molecule_chembl_id,canonical_smiles,logPotency
CHEMBL1978995,CCn1ncc(/C=N/NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1C,4.499999678657065
CHEMBL1310579,CC(=O)COc1ccc2oc(=O)cc(-c3cc4ccccc4o3)c2c1,4.049999969853415
CHEMBL1357321,COc1ccc2nc(-c3ccccc3)cc(C(=O)OCC(=O)N3CC(C)OC(C)C3)c2c1,4.349999603463148
CHEMBL1480298,Cn1cc([N+](=O)[O-])c(C(=O)N2CCN(Cc3ccc4c(c3)OCO4)CC2)n1,4.049999969853415
CHEMBL601192,COc1ccc(S(=O)(=O)n2nc(-c3ccc(Cl)cc3)cc2N)cc1OC,4.650000220873455
CHEMBL1409486,CN(CCCNC(=O)c1cc2c(Cl)nc3ccccc3c2s1)Cc1ccccc1,4.40000018605658
CHEMBL3349008,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H]1C,4.59999938302362
CHEMBL1390521,NNC(=O)c1cc(O)c(O)c(O)c1,4.650000220873455
CHEMBL1508440,FC(F)(F)c1cc(CCN2C(S)=NC[C@@H]2CC2CCCCC2)cc(C(F)(F)F)c1,4.450000476425332
CHEMBL1485221,O=C(CSc1ncn(-c2ccccc2)n1)Nc1ccccn1,5.450004148469349
CHEMBL1547481,Cc1ccccc1-c1nn2c(-c3ccccc3)nnc2s1,4.250000251143582
CHEMBL588250,COc1ccccc1Nc1nc(NCC2CCCO2)c2ccccc2n1.Cl,4.049999969853415
CHEMBL1586269,O=C(O)c1ccc(COc2ccccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)cc1,4.250000251143582
CHEMBL1877847,Cc1ccc(NC(=O)CN(C)Cc2ccc(Cl)cc2)cc1,4.049999969853415
CHEMBL1374369,COc1cc(/C=C(/C#N)C(=O)Nc2ccccc2)ccc1OCc1ccc(C(=O)O)cc1,4.300000202445418
CHEMBL1452939,COc1ccc(/C=C2\C(=O)NC(=S)N2C(=O)c2ccc(C)cc2)cc1,4.300000202445418
CHEMBL1730206,Cc1c(Cl)cccc1NC(=O)Cn1cnc2nc3c(cc2c1=O)CCCC3,4.550000451689026
CHEMBL1560751,COc1ccccc1N1CCN(C(=O)C(Cc2ccccc2)NC(=O)C2CCCCC2)CC1,5.399996913372259
CHEMBL1710859,c1cnc2nc3c4ccccc4c4ccccc4c3nc2c1,4.800000874803203
CHEMBL1730100,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1O,5.450004148469349
CHEMBL1978479,Cn1ccc(=Nc2ccc(NC(=O)c3ccc(/N=c4\ccn(C)c5ccc([N+](=O)[O-])cc45)cc3)cc2)cc1,4.849999245077863
CHEMBL1485192,CC1(N2CCOCC2)CC2(O)C(=[N+]1[O-])CCc1c2no[n+]1[O-],4.250000251143582
CHEMBL1374552,Cc1cccc(OCCCSc2nc(-c3ccc(C(C)(C)C)cc3)nc3cc(=O)[nH]n23)c1C,4.40000018605658
CHEMBL1563519,Cc1ccc(Nc2cc(-c3ccccc3)nc(C)n2)cc1,4.349999603463148
